CardSort_Unadj,Flanker_Unadj,ProcSpeed_Unadj,WM_Task_2bk_Acc,ListSort_Unadj,PicSeq_Unadj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,AngAffect_Unadj,FearAffect_Unadj,Sadness_Unadj,Relational_Task_Match_Median_RT,Relational_Task_Rel_Median_RT,PicVocab_Unadj,ReadEng_Unadj,Language_Task_Story_Avg_Difficulty_Level,VSPLOT_CRTE,IWRD_RTC,SCPT_TPRT,Endurance_Unadj
119.14,130.42,138.72,83.507,112.89,125.07,20,0,18574.5,54.8,63.3,55,1430,1745.75,119.8914,113.546,9.071,1247.5758,1475,520,123.31
123.75,112.56,122.65,77.083,108.06,110.61,17,2,11839,46.9,53.9,53.4,1385.5,2145,107.2,111.07,9.607,834.3,1442,412,114.05
111.14,121.18,107.08,92.708,108.06,125.71,7,12,3042,50.6,55.1,49.9,1347,2311.5,134.24,131.81,10.482,900.2857,1450.75,468,121
129.84,126.53,111.11,96.181,117.39,109.04,23,0,12280,47.5,49.6,44.2,1477,1918.5,140.8151,141.3166,12.446,608.0952,1240,465,107.24
105.19,101.85,90.59,58.681,93.9,84.68,11,8,6569,59,49.3,48.7,1276.5,1732.25,95.42348,113.5374,11.393,1129.7084,1579.5,440,81.58
99.76,113.67,105.28,92.535,117.39,102.89,15,4,12558,38.3,43.3,38.5,1501.5,1316.5,123.3551,106.9173,9.375,928.9026,1248,471,91.04
102.83,111.75,91.68,72.396,121.89,118.8,20,0,22781.5,39.1,44.9,51,1791,2932.25,116.52,110.8,6.304,1520.091,1530.25,545,108.87
102.84,86.31,60.09,86.111,112.89,116.13,18,1,26980,51.8,49.3,49.9,1328,2156,121.2287,124.8705,10.75,1085.8572,1337.5,515,108.66
107.69,103.86,97.15,89.931,126.18,110.7,21,0,16468,50.1,49.6,45.8,1379.5,1940.5,123.1029,118.7641,11.518,1040,1600,460,107.03
101.41,95.94,100.29,85.069,130.38,103.28,15,4,7730,44.8,52,44.7,1569.5,2665.25,124.138,127.1703,12.286,940.625,2020,480,112.07
107.52,102.76,110.41,83.681,112.89,92.36,17,2,7301,44.2,49,41.7,1389.25,1969.5,108.83,111.35,10.607,1280.8,1388.75,530.5,108.1
107.93,101.75,107,78.472,117.39,101.01,16,3,12518.5,49.8,52.9,49.9,1478.75,2717.75,130.89,120.49,10.107,2770.1428,1459,488,100.99
119.59,115.12,134.82,93.75,108.06,135.55,23,0,12040,48.4,51.2,43.9,1310.5,1866.75,124.514,128.4841,11.661,960,2027.5,490,113.29
101.87,97.68,90.22,87.5,112.89,125.71,21,0,33614,42.8,51.4,41.9,1207,1804.5,115.13,130.17,11.929,1460.125,2065,460,103.15
109.62,106.14,103.91,90.972,126.18,110.7,22,0,20070,51.8,51.2,55,1812.5,1994,121.81,119.17,11.786,1215.4135,1610.5,499.5,112.05
143.94,115.04,121.22,97.569,121.89,125.07,22,0,11795,46.2,44.3,41.7,1419,2242,120.2309,125.504,10.607,913.2727,1550,430,119.49
109.81,112.7,76.8,93.576,117.39,115.73,22,0,34943.5,41.9,49.6,39.1,1946.75,2691,114.8966,129.6218,9.179,2431.0269,1607.5,480,107.64
111.97,113.61,116.45,91.319,108.06,111.46,22,0,27052.5,46,49.6,48.1,1772.5,2299,115.38,117.37,10.964,1410.3889,1570.75,480,110.37
128.03,113.89,94.79,88.715,104.06,135.55,24,0,30114.5,57,61.5,63.4,1665.25,2283,126.34,131.75,9.839,1303.7142,1696.25,512.5,130.75
124.39,113.07,145.54,93.75,133.93,112.39,23,0,27636,32,47.2,45.7,1764.5,2099.5,125.0447,135.9465,11.929,2349.8572,2102.5,450,107.42
114.82,111.44,121.22,93.576,130.38,135.55,22,0,12856,47.7,42.6,49.4,1324,1748.5,123.0852,119.5151,11.536,605.07935,1162.5,410,131.88
103.3,101.57,115.83,81.076,108.06,104.47,10,9,3890,48,46.7,41.7,1445,2104,121.8928,120.6881,11.25,804.2857,1297.5,470,92.16
115.07,126.63,127.84,95.139,130.38,135.55,23,0,23690,47.7,49.6,43.6,1205.5,2265.75,128.4,123.78,12.161,1630.2858,1347.5,440,105.37
114.79,126.11,128.25,98.785,137.98,111.46,24,0,25985,45.1,51.2,39.6,1351.5,2172.5,133.0329,134.8629,12.143,950,1620,500,122.41
122.44,116.83,113.4,96.181,117.39,108.93,21,0,13475,46.5,49,45,1458.5,2043.5,115.7674,110.5715,12,959.0625,1548,478,102.42
109.98,118.42,113.4,96.181,144.5,135.55,22,0,18938.5,48.2,53.9,46.1,1164.5,1871.75,127.3699,124.2336,10.875,1126.1488,1235,410,116.29
119.66,121.42,119.54,92.535,108.06,135.55,13,6,3750,47.1,46,45.6,1576.75,2728.25,111.61,115.11,11.732,800.86365,2015,480,103.35
